player,pos,team,non_ppr_projection,ppr_projection,bye_week,ADP
Ka'imi Fairbairn,K,HOU,145,8.529411765,14,154.8
Blake Grupe,K,NO,142,8.352941176,12,231.3
Evan McPherson,K,CIN,139,8.176470588,12,160.4
Jason Sanders,K,MIA,138,8.117647059,6,192
Cameron Dicker,K,LAC,138,8.117647059,5,183.2
Matt Gay,K,IND,137,8.058823529,14,198
Tyler Bass,K,BUF,136,8,12,186.8
Jake Moody,K,SF,136,8,9,167.6
Cam Little,K,JAC,135,7.941176471,12,265
Greg Zuerlein,K,NYJ,135,7.941176471,12,183.3
Cairo Santos,K,CHI,133,7.823529412,7,207.3
Chase McLaughlin,K,TB,131,7.705882353,11,263
Dustin Hopkins,K,CLE,130,7.647058824,10,168
Joshua Karty,K,LAR,130,7.647058824,6,266.3
Matt Prater,K,ARI,125,7.352941176,11,228.5
Jake Bates,K,DET,122,7.176470588,5,203
Wil Lutz,K,DEN,120,7.058823529,14,254
Chris Boswell,K,PIT,114,6.705882353,9,186.5
Will Reichard,K,MIN,111,6.529411765,6,229
Daniel Carlson,K,LV,110,6.470588235,10,196.3
Nick Folk,K,TEN,106,6.235294118,5,252.5
Eddy Pineiro,K,CAR,103,6.058823529,11,291
Graham Gano,K,NYG,95,5.588235294,11,230
Chad Ryland,K,NE,85,5,14,288
Greg Joseph,K,GB,78,4.588235294,10,302
Riley Patterson,K,WAS,60,3.529411765,14,376
Anders Carlson,K,GB,50,2.941176471,10,240
BAL,DST,BAL,238.3,14.01764706,11,81
NYJ,DST,NYJ,238,14,12,101
KC,DST,KC,224.6,13.21176471,14,140
SF,DST,SF,218.8,12.87058824,12,72
DAL,DST,DAL,209.7,12.33529412,11,84
CLE,DST,CLE,199.3,11.72352941,7,69
MIA,DST,MIA,198.2,11.65882353,12,141
PHI,DST,PHI,195.4,11.49411765,10,175
TB,DST,TB,186.9,10.99411765,7,229
MIN,DST,MIN,177.6,10.44705882,14,212
ATL,DST,ATL,177.5,10.44117647,5,241
NE,DST,NE,174.3,10.25294118,10,208
IND,DST,IND,173.9,10.22941176,14,226
BUF,DST,BUF,173.7,10.21764706,14,174
HOU,DST,HOU,169.2,9.952941176,12,185
CAR,DST,CAR,164.2,9.658823529,6,387
CIN,DST,CIN,162.2,9.541176471,5,165
PIT,DST,PIT,161.7,9.511764706,9,115
LAC,DST,LAC,160,9.411764706,6,179
NYG,DST,NYG,157.8,9.282352941,6,209
NO,DST,NO,157.1,9.241176471,6,137
GB,DST,GB,153.8,9.047058824,14,190
JAC,DST,JAC,152.7,8.982352941,12,177
SEA,DST,SEA,151,8.882352941,11,189
LV,DST,LV,149.1,8.770588235,12,194
DET,DST,DET,145.2,8.541176471,5,134
CHI,DST,CHI,142.6,8.388235294,9,178
ARI,DST,ARI,140.3,8.252941176,9,235
TEN,DST,TEN,139.3,8.194117647,10,230
LAR,DST,LAR,135.9,7.994117647,11,224
WAS,DST,WAS,122.2,7.188235294,5,233
DEN,DST,DEN,115.2,6.776470588,14,220
