player,src_id,id,pos,team,non_ppr_projection,ppr_projection,bye_week,ADP
Tank Bigsby,3162021,,RB,JAC,36,69,12,271
Emari Demercado,2964372,,RB,ARI,31,68.6,11,443
Kyle Juszczyk,1683145,11367,FB,SF,31,66.1,9,268.5
Dameon Pierce,2964236,15717,RB,HOU,29,56.9,14,206.3
Hunter Luepke,2969438,,RB,DAL,27,42.1,7,839
Trey Sermon,2804142,15257,RB,IND,25,36.3,14,301
Rasheen Ali,3168797,,RB,BAL,23,34.5,14,376
Ronnie Rivers,2804793,15726,RB,LAR,21,41,6,653
Ameer Abdullah,1824308,12155,RB,LV,20,52.1,10,404
Deuce Vaughn,3168666,,RB,DAL,19,43.8,7,326
Jordan Mason,2967536,15972,RB,SF,19,29.8,9,304
Will Shipley,26699119,,RB,PHI,19,31.1,5,246.3
Nyheim Hines,2183832,13622,RB,CLE,14,38.6,10,463
Jase McClellan,3162688,,RB,ATL,13,25.7,12,690
Zander Horvath,2871345,15960,RB,NO,13,17.5,12,810
Jeff Wilson,2925161,14017,RB,MIA,13,25.6,6,385.5
Isaiah Spiller,3131703,15709,RB,LAC,13,26.8,5,642
Isaac Guerendo,2964154,,RB,SF,13,25.3,9,318.7
Cody Schrader,28876935,,RB,SF,13,25.3,9,718
Craig Reynolds,3117134,14727,RB,DET,13,24.1,5,331
Tyler Goodson,3122473,15730,RB,IND,12,25.6,14,485
JaMycal Hasty,2189504,14821,RB,NE,12,32.4,14,599
Emani Bailey,3164304,,RB,KC,12,24.8,6,869
Travis Kelce,1725130,11244,TE,KC,153,268.1,6,23.4
Mark Andrews,2131121,13671,TE,BAL,144,216.9,14,43.6
Sam LaPorta,3124197,,TE,DET,135,228.5,5,26.2
George Kittle,2818265,13299,TE,SF,125,194.7,9,59
David Njoku,2136474,13192,TE,CLE,116,204.4,10,82.4
Trey McBride,2963385,15794,TE,ARI,111,203,11,46.6
Kyle Pitts,2964514,15329,TE,ATL,110,181.9,12,61.2
Jake Ferguson,2867159,15799,TE,DAL,109,189.3,7,87.6
Dalton Kincaid,2982991,,TE,BUF,109,206.5,12,52.2
Dallas Goedert,2132551,13674,TE,PHI,102,176.4,5,112.4
Evan Engram,2079887,13189,TE,JAC,101,205.6,12,65.6
Isaiah Likely,2961906,15798,TE,BAL,95,142.1,14,190.2
Cole Kmet,2868619,14867,TE,CHI,91,161.4,7,138.2
Dalton Schultz,2136748,13772,TE,HOU,90,161.6,14,129.2
Pat Freiermuth,2961270,15331,TE,PIT,89,152.8,9,136.8
Brock Bowers,26693971,,TE,LV,89,166.2,10,102.4
T.J. Hockenson,2251097,14138,TE,MIN,86,167.7,6,116.2
Hunter Henry,2079848,12676,TE,NE,80,133.2,14,194
Luke Musgrave,3129283,,TE,GB,76,142.4,10,171.8
Juwan Johnson,2186637,14861,TE,NO,71,122.4,12,261
Tyler Conklin,2165249,13675,TE,NYJ,70,138,12,204.8
Chigoziem Okonkwo,2965208,15889,TE,TEN,67,128.4,5,207
Jonnu Smith,2081506,13193,TE,MIA,66,123.5,6,248
Cade Otton,2815179,15802,TE,TB,63,123.7,11,216.5
Ben Sinnott,3168647,,TE,WAS,63,123.9,14,220.8
Mike Gesicki,2139298,13672,TE,CIN,63,114.1,12,235.2
Tyler Higbee,1853103,12678,TE,LAR,62,120.3,6,353.7
Brevin Jordan,2964787,15330,TE,HOU,62,96.1,14,324
Noah Fant,2251095,14137,TE,SEA,59,112.2,10,231.3
Gerald Everett,2142692,13236,TE,CHI,57,113.4,7,273.5
Michael Mayer,3171673,,TE,LV,53,99.9,10,230.5
Dawson Knox,2186345,14143,TE,BUF,52,92.6,12,220.7
Donald Parham Jr.,2183713,14341,TE,LAC,51,87.4,5,469
Greg Dulcich,2964274,15797,TE,DEN,50,94.2,14,260
Hayden Hurst,2185053,13680,TE,LAC,48,93.8,5,277
Tucker Kraft,3133332,,TE,GB,47,89,10,257.5
Tommy Tremble,2969027,15332,TE,CAR,45,78.5,11,609
Mo Alie-Cox,2815925,13246,TE,IND,43,66.6,14,405.5
Durham Smythe,2082845,13676,TE,MIA,42,88.6,6,292
Elijah Higgins,3122914,,TE,ARI,41,80.2,11,469.5
Kylen Granson,2247146,15419,TE,IND,41,76,14,488
Theo Johnson,3162129,,TE,NYG,39,90.1,11,303.7
Ja'Tavion Sanders,26731381,,TE,CAR,37,87.4,11,256
Zach Ertz,1685963,11247,TE,WAS,36,75.1,14,244.5
Brock Wright,2807423,15626,TE,DET,34,69.1,5,349.5
Adam Trautman,2182228,14870,TE,DEN,33,66.3,14,595
Noah Gray,2866903,15337,TE,KC,33,69.7,6,265
Johnny Mundt,2818622,13940,TE,MIN,30,64.9,6,410
Josh Oliver,2184618,14209,TE,MIN,28,66.6,6,473
Daniel Bellinger,2963615,15873,TE,NYG,28,67.5,11,354.7
Jelani Woods,2787078,15840,TE,IND,28,53,14,274
Teagan Quitoriano,2965963,15905,TE,HOU,22,40.9,14,631
Colby Parkinson,2867522,14871,TE,LAR,22,45.9,6,265.5
Ian Thomas,2253359,13678,TE,CAR,19,48,11,561
Connor Heyward,2867599,15800,TE,PIT,19,50.4,9,331.5
Quintin Morris,2864581,15341,TE,BUF,17,34.9,12,556
MyCole Pruitt,1760327,12309,TE,PIT,16,31.2,9,539
Brenton Strange,3121696,,TE,JAC,16,34.1,12,827
Ben Sims,2964709,,TE,GB,16,32.3,10,467
C.J. Uzomah,2174118,12317,TE,PHI,15,26.4,5,364
Austin Hooper,2067004,12677,TE,NE,13,38.7,14,406
Stone Smartt,2864800,,TE,LAC,13,33.8,5,654
Armani Rogers,2258253,15990,TE,PHI,13,30.3,5,348
Will Dissly,2139628,13763,TE,LAC,13,37.8,5,416
Payne Durham,2968469,,TE,TB,12,31.6,11,512
John Bates,2257291,15344,TE,WAS,12,36.5,14,622
Pharaoh Brown,2819155,13994,TE,SEA,12,32.2,10,411.5
James Mitchell,2963242,15909,TE,DET,11,30.4,5,448.5
Robert Tonyan,2820026,13427,TE,MIN,11,30,6,735
Foster Moreau,2180634,14239,TE,NO,11,29.2,12,468
Brayden Willis,2963088,,TE,SF,11,28.1,9,832
Cameron Latu,2964535,,TE,SF,11,28.1,9,497.5
Ross Dwelley,2924888,13988,TE,ATL,11,26.7,12,492
Tanner McLachlan,2980252,,TE,CIN,11,31.4,12,692
Jared Wiley,3123819,,TE,KC,11,31.9,6,448
Cade Stover,3125978,,TE,HOU,11,29,14,320.5
Jeremy Ruckert,2965446,15796,TE,NYJ,10,28.4,12,482
Josiah Deguara,2181108,14876,TE,JAC,10,27.5,12,586
Jaheim Bell,3169583,,TE,NE,10,25.1,14,525
Lucas Krull,2961761,15970,TE,DEN,10,25.4,14,501
Devin Culp,2967413,,TE,TB,10,28.4,11,700
Albert Okwuegbunam,2245117,14873,TE,PHI,10,27.7,5,466
